negation,alternative
not bad,good
not beautiful,ugly
not good,bad
Not ugly, beautiful
Not tall, short
Not short, tall
Not fast, slow
Not slow, fast
Not heavy, light
Not light, heavy
Not strong, weak
Not weak, strong
Not happy, sad 
Not sad, happy 
Not angry, calm
Not calm, angry
Not generous, selfish 
Not selfish, generous 
Not honest, dishonest 
Not dishonest, honest 
Not smart, dumb 
Not dumb, smart 
Not clean, dirty
Not dirty, clean
Not expensive, cheap
Not cheap, expensive
Not easy, difficult
Not difficult, easy
Not fun, boring
Not boring, fun
don't,do not
don’t,do not
